"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3";"JST_SH_SM08B-SRSS-TB_08x1.00mm_Angled";1;"ESC/PDB CONN";;;
2;"C29,C27,C26,C28,C25,C23";"C_0402_1005Metric";6;"1u";;;
3;"C9,C10,C39,C40";"C_0402_1005Metric";4;"10p";;;
4;"U7,U6";"SON65P200X200X80-7N";2;"LP5912-3.3DRV";;;
5;"D18";"LED_0603_1608Metric";1;"RED";;;
6;"C14,C42,C41";"C_0402_1005Metric";3;"10n";;;
7;"C13,C33,C6,C5,C4,C35,C11,C31,C32,C34,C3,C2,C1,C38,C37,C30,C20,C43,C36";"C_0402_1005Metric";19;"100n";;;
8;"R16,R15,R25,R14";"R_0402_1005Metric";4;"1K";;;
9;"Y1";"CRYSTAL-SMD_4P-L2.0-W1.6-BL";1;"27MHz";;;
10;"U2";"XDCR_DPS368XTSA1";1;"DPS368XTSA1";;;
11;"U9";"SOT50P160X60-6N";1;"USBLC6-2P6";;;
12;"R4,R1";"R_0402_1005Metric";2;"75";;;
13;"C24,C22,C19,C44";"C_0402_1005Metric";4;"10u";;;
14;"R3,R21,R2,R9,R8,R11,R13,R10,R12";"R_0402_1005Metric";9;"10k";;;
15;"D10";"LED_0603_1608Metric";1;"Blue";;;
16;"D11";"LED_0603_1608Metric";1;"Green";;;
17;"U1";"TSSOP-28_L9.7-W4.4-P0.65-LS6.4-BL-EP-2";1;"AT7456E";;;
18;"U3";"SOIC127P790X216-8N";1;"W25Q128JVSIQ";;;
19;"C12";"C_0402_1005Metric";1;"2p2";;;
20;"D2,D1";"DIO_SDM2U40CSP-7B";2;"SDM2U30CSP-7B";;;
21;"R18,R22,R20";"R_0402_1005Metric";3;"100K";;;
22;"R23,R24";"R_0402_1005Metric";2;"5K1";;;
23;"C8,C7";"C_1206_3216Metric";2;"47u";;;
24;"Y2";"XTAL_NX3225GD-8MHZ-STD-CRA-3";1;"8MHz";;;
25;"R5,R19,R17";"R_0402_1005Metric";3;"10K";;;
26;"U8";"QFP50P1200X1200X160-64N";1;"STM32G474RET6";;;
27;"D14";"ESDALC6V1-1U2";1;"ESD";;;
28;"SW1";"SW_B3U-1000P";1;"BOOT0";;;
29;"D12";"LED_0603_1608Metric";1;"Amber";;;
30;"U4";"PQFN50P300X250X97-14N";1;"ICM-42688-P";;;
31;"J13";"KINGHELM_KH-TYPE-C-16P";1;"USB-C-16P";;;
32;"J4";"JST_SH_SM04B-SRSS-TB_04x1.00mm_Angled";1;"VTX";;;
33;"J8";"CONN-SMD_6P-P1.00_XUNPU_WAFER-SH1.0-6PWB";1;"GPS";;;
34;"J1";"JST_SH_SM03B-SRSS-TB_03x1.00mm_Angled";1;"CAM";;;
35;"FB1";"C_0805_2012Metric";1;"300R";;;
36;"J5";"JST_SH_SM03B-SRSS-TB_03x1.00mm_Angled";1;"LED";;;
37;"J2";"JST_SH_SM04B-SRSS-TB_04x1.00mm_Angled";1;"RX";;;
