"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C2,C9,C7,C4";"C_1206_3216Metric";4;"10u";;;
2;"L1";"IND-SMD_L7.0-W6.6";1;"6u8";;;
3;"C8,C3,C1,C6";"C_0402_1005Metric";4;"100n";;;
4;"J1";"JST_SH_SM08B-SRSS-TB_08x1.00mm_Angled";1;"FC Conn";;;
5;"C10,C5";"C_0402_1005Metric";2;"33n";;;
6;"R5";"R_0402_1005Metric";1;"102K";;;
7;"U2,U1";"SOTFL50P160X60-8N";2;"TPS62933DRLR";;;
8;"L2";"IND-SMD_L7.0-W6.6";1;"10u";;;
9;"R3,R4,R6";"R_0402_1005Metric";3;"10K";;;
10;"R1";"R_0402_1005Metric";1;"100K";;;
11;"R2";"R_0402_1005Metric";1;"52K3";;;
